Original_Field_Name,Tableau_Field_Name,Data_Type,Table_Name,Table_Reference_SQL,Used_In_Workbook,Type,Calculation_Formula
team_abbr,team_abbr,string,Home Teams,Home Teams.team_abbr as team_abbr,No,Column,
team_color,team_color,string,Home Teams,Home Teams.team_color as team_color,No,Column,
team_color2,team_color2,string,Home Teams,Home Teams.team_color2 as team_color2,No,Column,
team_color3,team_color3,string,Home Teams,Home Teams.team_color3 as team_color3,No,Column,
team_color4,team_color4,string,Home Teams,Home Teams.team_color4 as team_color4,No,Column,
team_conf,team_conf,string,Home Teams,Home Teams.team_conf as team_conf,No,Column,
team_conference_logo,team_conference_logo,string,Home Teams,Home Teams.team_conference_logo as team_conference_logo,No,Column,
team_division,team_division,string,Home Teams,Home Teams.team_division as team_division,Yes,Column,
team_id,team_id (nfl_teams),integer,Home Teams,Home Teams.team_id as team_id (nfl_teams),No,Column,
team_league_logo,team_league_logo,string,Home Teams,Home Teams.team_league_logo as team_league_logo,No,Column,
team_logo_espn,team_logo_espn,string,Home Teams,Home Teams.team_logo_espn as team_logo_espn,No,Column,
team_logo_squared,team_logo_squared,string,Home Teams,Home Teams.team_logo_squared as team_logo_squared,Yes,Column,
team_logo_wikipedia,team_logo_wikipedia,string,Home Teams,Home Teams.team_logo_wikipedia as team_logo_wikipedia,No,Column,
team_name,team_name,string,Home Teams,Home Teams.team_name as team_name,No,Column,
team_nick,team_nick,string,Home Teams,Home Teams.team_nick as team_nick,No,Column,
team_wordmark,team_wordmark,string,Home Teams,Home Teams.team_wordmark as team_wordmark,No,Column,
updated_date,updated_date,date,Home Teams,Home Teams.updated_date as updated_date,No,Column,
[abbr (props_teams)],[abbr (props_teams)],Unknown,Unknown,[abbr (props_teams)].[abbr (props_teams)],No,Column,
[abbr],[abbr],Unknown,Unknown,[abbr].[abbr],No,Column,
[away_team],[away_team],Unknown,Unknown,[away_team].[away_team],No,Column,
[away_win_pct],[away_win_pct],Unknown,Unknown,[away_win_pct].[away_win_pct],No,Column,
[books],[books],Unknown,Unknown,[books].[books],No,Column,
[conference (props_teams)],[conference (props_teams)],Unknown,Unknown,[conference (props_teams)].[conference (props_teams)],No,Column,
[conference],[conference],Unknown,Unknown,[conference].[conference],No,Column,
[consensus_away_line],[consensus_away_line],Unknown,Unknown,[consensus_away_line].[consensus_away_line],No,Column,
[consensus_away_line_win_pct],[consensus_away_line_win_pct],Unknown,Unknown,[consensus_away_line_win_pct].[consensus_away_line_win_pct],No,Column,
[consensus_home_line],[consensus_home_line],Unknown,Unknown,[consensus_home_line].[consensus_home_line],No,Column,
[consensus_home_line_win_pct],[consensus_home_line_win_pct],Unknown,Unknown,[consensus_home_line_win_pct].[consensus_home_line_win_pct],No,Column,
[consensus_over_win_pct],[consensus_over_win_pct],Unknown,Unknown,[consensus_over_win_pct].[consensus_over_win_pct],No,Column,
[consensus_total],[consensus_total],Unknown,Unknown,[consensus_total].[consensus_total],No,Column,
[consensus_under_win_pct],[consensus_under_win_pct],Unknown,Unknown,[consensus_under_win_pct].[consensus_under_win_pct],No,Column,
[created_at],[created_at],Unknown,Unknown,[created_at].[created_at],No,Column,
[created_date (nfl_teams)],[created_date (nfl_teams)],Unknown,Unknown,[created_date (nfl_teams)].[created_date (nfl_teams)],No,Column,
[created_date],[created_date],Unknown,Unknown,[created_date].[created_date],No,Column,
[date],[date],Unknown,Unknown,[date].[date],No,Column,
[display_name (props_teams)],[display_name (props_teams)],Unknown,Unknown,[display_name (props_teams)].[display_name (props_teams)],No,Column,
[display_name],[display_name],Unknown,Unknown,[display_name].[display_name],No,Column,
[division (props_teams)],[division (props_teams)],Unknown,Unknown,[division (props_teams)].[division (props_teams)],No,Column,
[division],[division],Unknown,Unknown,[division].[division],No,Column,
[full_name (props_teams)],[full_name (props_teams)],Unknown,Unknown,[full_name (props_teams)].[full_name (props_teams)],No,Column,
[full_name],[full_name],Unknown,Unknown,[full_name].[full_name],No,Column,
[game_id],[game_id],Unknown,Unknown,[game_id].[game_id],No,Column,
[home_team],[home_team],Unknown,Unknown,[home_team].[home_team],No,Column,
[home_win_pct],[home_win_pct],Unknown,Unknown,[home_win_pct].[home_win_pct],No,Column,
[id (props_teams) #1],[id (props_teams) #1],Unknown,Unknown,[id (props_teams) #1].[id (props_teams) #1],No,Column,
[id (props_teams)],[id (props_teams)],Unknown,Unknown,[id (props_teams)].[id (props_teams)],No,Column,
[id],[id],Unknown,Unknown,[id].[id],No,Column,
[logo (props_teams)],[logo (props_teams)],Unknown,Unknown,[logo (props_teams)].[logo (props_teams)],No,Column,
[logo],[logo],Unknown,Unknown,[logo].[logo],No,Column,
[pre_data_updated],[pre_data_updated],Unknown,Unknown,[pre_data_updated].[pre_data_updated],No,Column,
[pred_away_score],[pred_away_score],Unknown,Unknown,[pred_away_score].[pred_away_score],No,Column,
[pred_home_score],[pred_home_score],Unknown,Unknown,[pred_home_score].[pred_home_score],No,Column,
[pred_margin],[pred_margin],Unknown,Unknown,[pred_margin].[pred_margin],No,Column,
[season],[season],Unknown,Unknown,[season].[season],No,Column,
[team_abbr (nfl_teams)],[team_abbr (nfl_teams)],Unknown,Unknown,[team_abbr (nfl_teams)].[team_abbr (nfl_teams)],No,Column,
[team_abbr],[team_abbr],Unknown,Unknown,[team_abbr].[team_abbr],No,Column,
[team_color (nfl_teams)],[team_color (nfl_teams)],Unknown,Unknown,[team_color (nfl_teams)].[team_color (nfl_teams)],No,Column,
[team_color2 (nfl_teams)],[team_color2 (nfl_teams)],Unknown,Unknown,[team_color2 (nfl_teams)].[team_color2 (nfl_teams)],No,Column,
[team_color2],[team_color2],Unknown,Unknown,[team_color2].[team_color2],No,Column,
[team_color3 (nfl_teams)],[team_color3 (nfl_teams)],Unknown,Unknown,[team_color3 (nfl_teams)].[team_color3 (nfl_teams)],No,Column,
[team_color3],[team_color3],Unknown,Unknown,[team_color3].[team_color3],No,Column,
[team_color4 (nfl_teams)],[team_color4 (nfl_teams)],Unknown,Unknown,[team_color4 (nfl_teams)].[team_color4 (nfl_teams)],No,Column,
[team_color4],[team_color4],Unknown,Unknown,[team_color4].[team_color4],No,Column,
[team_color],[team_color],Unknown,Unknown,[team_color].[team_color],No,Column,
[team_conf (nfl_teams)],[team_conf (nfl_teams)],Unknown,Unknown,[team_conf (nfl_teams)].[team_conf (nfl_teams)],No,Column,
[team_conf],[team_conf],Unknown,Unknown,[team_conf].[team_conf],No,Column,
[team_conference_logo (nfl_teams)],[team_conference_logo (nfl_teams)],Unknown,Unknown,[team_conference_logo (nfl_teams)].[team_conference_logo (nfl_teams)],No,Column,
[team_conference_logo],[team_conference_logo],Unknown,Unknown,[team_conference_logo].[team_conference_logo],No,Column,
[team_division (nfl_teams)],[team_division (nfl_teams)],Unknown,Unknown,[team_division (nfl_teams)].[team_division (nfl_teams)],No,Column,
[team_division],[team_division],Unknown,Unknown,[team_division].[team_division],No,Column,
[team_id (nfl_teams) #1],[team_id (nfl_teams) #1],Unknown,Unknown,[team_id (nfl_teams) #1].[team_id (nfl_teams) #1],No,Column,
[team_id (nfl_teams)],[team_id (nfl_teams)],Unknown,Unknown,[team_id (nfl_teams)].[team_id (nfl_teams)],No,Column,
[team_id (props_teams)],[team_id (props_teams)],Unknown,Unknown,[team_id (props_teams)].[team_id (props_teams)],No,Column,
[team_id],[team_id],Unknown,Unknown,[team_id].[team_id],No,Column,
[team_league_logo (nfl_teams)],[team_league_logo (nfl_teams)],Unknown,Unknown,[team_league_logo (nfl_teams)].[team_league_logo (nfl_teams)],No,Column,
[team_league_logo],[team_league_logo],Unknown,Unknown,[team_league_logo].[team_league_logo],No,Column,
[team_logo_espn (nfl_teams)],[team_logo_espn (nfl_teams)],Unknown,Unknown,[team_logo_espn (nfl_teams)].[team_logo_espn (nfl_teams)],No,Column,
[team_logo_espn],[team_logo_espn],Unknown,Unknown,[team_logo_espn].[team_logo_espn],No,Column,
[team_logo_squared (nfl_teams)],[team_logo_squared (nfl_teams)],Unknown,Unknown,[team_logo_squared (nfl_teams)].[team_logo_squared (nfl_teams)],No,Column,
[team_logo_squared],[team_logo_squared],Unknown,Unknown,[team_logo_squared].[team_logo_squared],No,Column,
[team_logo_wikipedia (nfl_teams)],[team_logo_wikipedia (nfl_teams)],Unknown,Unknown,[team_logo_wikipedia (nfl_teams)].[team_logo_wikipedia (nfl_teams)],No,Column,
[team_logo_wikipedia],[team_logo_wikipedia],Unknown,Unknown,[team_logo_wikipedia].[team_logo_wikipedia],No,Column,
[team_name (nfl_teams)],[team_name (nfl_teams)],Unknown,Unknown,[team_name (nfl_teams)].[team_name (nfl_teams)],No,Column,
[team_name],[team_name],Unknown,Unknown,[team_name].[team_name],No,Column,
[team_nick (nfl_teams)],[team_nick (nfl_teams)],Unknown,Unknown,[team_nick (nfl_teams)].[team_nick (nfl_teams)],No,Column,
[team_nick],[team_nick],Unknown,Unknown,[team_nick].[team_nick],No,Column,
[team_wordmark (nfl_teams)],[team_wordmark (nfl_teams)],Unknown,Unknown,[team_wordmark (nfl_teams)].[team_wordmark (nfl_teams)],No,Column,
[team_wordmark],[team_wordmark],Unknown,Unknown,[team_wordmark].[team_wordmark],No,Column,
[updated_date (nfl_teams)],[updated_date (nfl_teams)],Unknown,Unknown,[updated_date (nfl_teams)].[updated_date (nfl_teams)],No,Column,
[updated_date],[updated_date],Unknown,Unknown,[updated_date].[updated_date],No,Column,
[venue],[venue],Unknown,Unknown,[venue].[venue],No,Column,
[week],[week],Unknown,Unknown,[week].[week],No,Column,
away_team,away_team,string,nfl_dimers_lines,nfl_dimers_lines.away_team as away_team,Yes,Column,
away_win_pct,away_win_pct,real,nfl_dimers_lines,nfl_dimers_lines.away_win_pct as away_win_pct,No,Column,
books,books,string,nfl_dimers_lines,nfl_dimers_lines.books as books,No,Column,
consensus_away_line,consensus_away_line,real,nfl_dimers_lines,nfl_dimers_lines.consensus_away_line as consensus_away_line,No,Column,
consensus_away_line_win_pct,consensus_away_line_win_pct,real,nfl_dimers_lines,nfl_dimers_lines.consensus_away_line_win_pct as consensus_away_line_win_pct,No,Column,
consensus_home_line,consensus_home_line,real,nfl_dimers_lines,nfl_dimers_lines.consensus_home_line as consensus_home_line,No,Column,
consensus_home_line_win_pct,consensus_home_line_win_pct,real,nfl_dimers_lines,nfl_dimers_lines.consensus_home_line_win_pct as consensus_home_line_win_pct,No,Column,
consensus_over_win_pct,consensus_over_win_pct,real,nfl_dimers_lines,nfl_dimers_lines.consensus_over_win_pct as consensus_over_win_pct,No,Column,
consensus_total,consensus_total,real,nfl_dimers_lines,nfl_dimers_lines.consensus_total as consensus_total,No,Column,
consensus_under_win_pct,consensus_under_win_pct,real,nfl_dimers_lines,nfl_dimers_lines.consensus_under_win_pct as consensus_under_win_pct,No,Column,
created_at,created_at,datetime,nfl_dimers_lines,nfl_dimers_lines.created_at as created_at,No,Column,
date,date,datetime,nfl_dimers_lines,nfl_dimers_lines.date as date,Yes,Column,
game_id,game_id,string,nfl_dimers_lines,nfl_dimers_lines.game_id as game_id,Yes,Column,
home_team,home_team,string,nfl_dimers_lines,nfl_dimers_lines.home_team as home_team,No,Column,
home_win_pct,home_win_pct,real,nfl_dimers_lines,nfl_dimers_lines.home_win_pct as home_win_pct,Yes,Column,
id,id,integer,nfl_dimers_lines,nfl_dimers_lines.id as id,No,Column,
pre_data_updated,pre_data_updated,datetime,nfl_dimers_lines,nfl_dimers_lines.pre_data_updated as pre_data_updated,No,Column,
pred_away_score,pred_away_score,real,nfl_dimers_lines,nfl_dimers_lines.pred_away_score as pred_away_score,Yes,Column,
pred_home_score,pred_home_score,real,nfl_dimers_lines,nfl_dimers_lines.pred_home_score as pred_home_score,Yes,Column,
pred_margin,pred_margin,real,nfl_dimers_lines,nfl_dimers_lines.pred_margin as pred_margin,Yes,Column,
season,season,integer,nfl_dimers_lines,nfl_dimers_lines.season as season,No,Column,
venue,venue,string,nfl_dimers_lines,nfl_dimers_lines.venue as venue,Yes,Column,
week,week,integer,nfl_dimers_lines,nfl_dimers_lines.week as week,No,Column,
[Calculation_2291206359138639872],[Calculation_2291206359138639872],Unknown,Workbook,CALCULATED: [Calculation_2291206359138639872],No,Calculated Field,INDEX()
index,index,integer,Workbook,CALCULATED: index,Yes,Calculated Field,INDEX()
random calc,random calc,integer,Workbook,CALCULATED: random calc,Yes,Calculated Field,if 1 = 1 then 2 END
